,name,product_summary,product_tech_spec,product_addl_info,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews
20,Amazon Basics Urban Backpack for Laptops up to 15-Inches - Green,"[{'info': 'Brand', 'value': '\u200eAmazon Basics'}, {'info': 'Item model number', 'value': '\u200eSP-13981-42544-MR'}, {'info': 'Item Weight', 'value': '\u200e1.95 pounds'}, {'info': 'Product Dimensions', 'value': '\u200e13.8 x 18.5 x 7 inches'}, {'info': 'Item Dimensions  LxWxH', 'value': '\u200e13.8 x 18.5 x 7 inches'}, {'info': 'Color', 'value': '\u200eArmy Green'}, {'info': 'Manufacturer', 'value': '\u200eAmazon Basics'}, {'info': 'ASIN', 'value': '\u200eB07QRZJRNH'}, {'info': 'Date First Available', 'value': '\u200eSeptember 3, 2019'}]","[{'info': 'Standing screen display size', 'value': '\u200e15 Inches'}]","[{'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.7 out of 5 stars 532 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.7 out of 5 stars'}]",,,,,/AmazonBasics-Urban-Backpack-Laptops-15-Inches/product-reviews/B07QRZJRNH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
32,Laptop PC 11.6 Inch TECLAST F5 360° Convertible Notebook 8GB RAM 256GB SSD Ultrabook Touchscreen Full HD 1920X1080 IPS Intel Celeron N4100 Processor Windows 10 USB 3.0 WiFi Bluetooth Type C,"[{'info': 'Item model number', 'value': '\u200eF5'}, {'info': 'Item Weight', 'value': '\u200e2.2 pounds'}, {'info': 'Product Dimensions', 'value': '\u200e10.83 x 7.4 x 0.51 inches'}, {'info': 'Item Dimensions  LxWxH', 'value': '\u200e10.83 x 7.4 x 0.51 inches'}, {'info': 'Processor Count', 'value': '\u200e4'}, {'info': 'Computer Memory Type', 'value': '\u200eDDR4 SDRAM'}, {'info': 'Flash Memory Size', 'value': '\u200e256 GB'}, {'info': 'Batteries', 'value': '\u200e1 Lithium ion batteries required. (included)'}]","[{'info': 'Standing screen display size', 'value': '\u200e11.6 Inches'}, {'info': 'RAM', 'value': '\u200e8 GB'}, {'info': 'Wireless Type', 'value': '\u200eBluetooth'}]","[{'info': 'ASIN', 'value': 'B089KJPHVN'}, {'info': 'Date First Available', 'value': 'February 2, 2021'}]",,,,,
39,"Hseok 15.6-Inch Laptop Case Sleeve, Environmental-Friendly Spill-Resistant Case for 15.4-Inch MacBook Pro 2012 A1286, MacBook Pro Retina 2012-2015 A1398 and Most 15.6-Inch Laptop,Blue Marble","[{'info': 'Brand', 'value': '\u200eHseok'}, {'info': 'Item Weight', 'value': '\u200e7.1 ounces'}, {'info': 'Package Dimensions', 'value': '\u200e16.54 x 11.02 x 1.26 inches'}, {'info': 'Color', 'value': '\u200eBlue Marble'}, {'info': 'Manufacturer', 'value': '\u200eHseok'}, {'info': 'ASIN', 'value': '\u200eB091YBPMXK'}, {'info': 'Date First Available', 'value': '\u200eApril 7, 2021'}]","[{'info': 'Standing screen display size', 'value': '\u200e15.6 Inches'}]","[{'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.7 out of 5 stars 10,444 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.7 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#3,174 in Laptop Sleeves'}]",Hseok,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AM76X42DZPAJ&isAmazonFulfilled=1,,,/Hseok-15-6-Inch-Environmental-Friendly-Spill-Resistant-15-4-Inch/product-reviews/B091YBPMXK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
42,"Amazon Basics 13.3"" Professional Laptop Case Sleeve Bag (With Retractable Handle) - Black","[{'info': 'Brand', 'value': '\u200eAmazon Basics'}, {'info': 'Item model number', 'value': '\u200eAMSL19022'}, {'info': 'Item Weight', 'value': '\u200e13.7 ounces'}, {'info': 'Product Dimensions', 'value': '\u200e14 x 10.5 x 1.2 inches'}, {'info': 'Item Dimensions  LxWxH', 'value': '\u200e14 x 10.5 x 1.2 inches'}, {'info': 'Color', 'value': '\u200eBlack'}, {'info': 'Manufacturer', 'value': '\u200eAmazon Basics'}, {'info': 'ASIN', 'value': '\u200eB07QKCLMGH'}, {'info': 'Date First Available', 'value': '\u200eAugust 15, 2019'}]","[{'info': 'Standing screen display size', 'value': '\u200e13.3 Inches'}]","[{'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.5 out of 5 stars 1,620 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.5 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#2,037 in Laptop Sleeves'}]",,,,,/AmazonBasics-Professional-Laptop-Sleeve-Retractable/product-reviews/B07QKCLMGH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
51,"Bewahly Vertical Laptop Stand[Adjustable Size],Aluminum Adjustable Laptop Holder, Saving Space, Suitable for MacBook Pro/Air, iPad, Samsung, Huawei, Surface, Dell, HP, Lenovo and Others (Gray)",,,"[{'info': 'Product Dimensions', 'value': '5.91 x 3.74 x 1.77 inches'}, {'info': 'Item Weight', 'value': '14.6 ounces'}, {'info': 'ASIN', 'value': 'B08BNH48Q6'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.9 out of 5 stars 228 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.9 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#11,996 in Office Products ( See Top 100 in Office Products ) #120 in Laptop Stands #261 in Office Carts & Stands'}, {'info': 'Date First Available', 'value': 'October 9, 2020'}, {'info': 'Manufacturer', 'value': 'Bewahly'}]",Bewahly US,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2J4M3KPDYQN0H&isAmazonFulfilled=1,,,/Bewahly-Vertical-Adjustable-Aluminum-Suitable/product-reviews/B08BNH48Q6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
53,"Acrylic Nail Kit, Professional Acrylic Powder Set Glitter Powder Monomer Liquid Set for Nail Extension Acrylic Nail Brush Nail Art Starter Kit",,,,,,,,/Acrylic-Professional-Glitter-Monomer-Extension/product-reviews/B0924FK5HY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
62,"KIPTOP Laptop Stand, Laptop Holder Riser Computer Stand, Aluminum 6-Angles Adjustable Ventilated Notebook Stand Mount for MacBook Air Pro, Huawei, Lenovo, Dell, HP, All 10-15.6” Laptops iPad - Silver",,,"[{'info': 'Package Dimensions', 'value': '10 x 2.99 x 1.1 inches'}, {'info': 'Item Weight', 'value': '9.9 ounces'}, {'info': 'Manufacturer', 'value': 'KIPTOP'}, {'info': 'ASIN', 'value': 'B087M97X8S'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.7 out of 5 stars 284 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.7 out of 5 stars'}, {'info': 'Date First Available', 'value': 'June 4, 2020'}]",,,,,
82,"Laptop Stand, Yanavee Laptop Stand Height Adjustable for Desk, Ergonomic Aluminum Laptop Stand Riser with Heat-Vent, Laptop Computer Stand Compatible for 10-17"" Laptop Space Gray",,,"[{'info': 'Product Dimensions', 'value': '11.81 x 8.66 x 2.36 inches'}, {'info': 'Item Weight', 'value': '2.82 pounds'}, {'info': 'ASIN', 'value': 'B08THXR16W'}, {'info': 'Item model number', 'value': 'LS002'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 5.0 out of 5 stars 6 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 5.0 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#268,931 in Office Products ( See Top 100 in Office Products ) #2,267 in Laptop Stands #4,808 in Office Carts & Stands'}, {'info': 'Date First Available', 'value': 'January 22, 2021'}, {'info': 'Manufacturer', 'value': 'Yanavee'}]",Qianyun-US,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1MRQBN5D46VJQ&isAmazonFulfilled=1,,,/Yanavee-Adjustable-Ergonomic-Heat-Vent-Compatible/product-reviews/B08THXR16W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
91,"Computer Stand for Laptop, 7 Angles Adjustable Portable Laptop Stand for Desk, Folding Ergonomic Laptop Holder, Aluminum Ventilated Notebook Stand for All 9-17” Laptops & Tablets",,"[{'info': 'Manufacturer', 'value': '\u200eFIASON'}, {'info': 'Brand', 'value': '\u200eFIASON'}, {'info': 'Item Weight', 'value': '\u200e9.2 ounces'}, {'info': 'Product Dimensions', 'value': '\u200e9.84 x 1.77 x 0.59 inches'}, {'info': 'Item model number', 'value': '\u200eLS01'}, {'info': 'Color', 'value': '\u200eSilver'}, {'info': 'Material Type', 'value': '\u200eAluminum'}, {'info': 'Manufacturer Part Number', 'value': '\u200eLS1'}]","[{'info': 'ASIN', 'value': 'B088ND4VV6'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.4 out of 5 stars 168 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.4 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#76,738 in Office Products ( See Top 100 in Office Products ) #671 in Laptop Stands #1,517 in Office Carts & Stands'}, {'info': 'Date First Available', 'value': 'May 15, 2020'}]",FIASON,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3MN7PD1HNQKSF&isAmazonFulfilled=1,,,/Adjustable-Portable-Ergonomic-Ventilated-Collapsible/product-reviews/B088ND4VV6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
96,"VonHaus Large Curved Glass Monitor Stand - Adjustable Height Multiple Screen Riser for PC Monitors, Computers, Laptops & TVs - 27.5 x 9.5 inches - Clear",,"[{'info': 'Brand', 'value': '\u200eVonHaus'}, {'info': 'Item model number', 'value': '\u200e05/079'}, {'info': 'Item Weight', 'value': '\u200e7.7 pounds'}, {'info': 'Product Dimensions', 'value': '\u200e27.56 x 9.45 x 4.33 inches'}, {'info': 'Item Dimensions  LxWxH', 'value': '\u200e27.56 x 9.45 x 4.33 inches'}, {'info': 'Color', 'value': '\u200eClear'}, {'info': 'Manufacturer', 'value': '\u200eVonHaus'}, {'info': 'ASIN', 'value': '\u200eB0196JNYZ8'}, {'info': 'Is Discontinued By Manufacturer', 'value': '\u200eNo'}, {'info': 'Date First Available', 'value': '\u200eDecember 10, 2015'}]","[{'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.6 out of 5 stars 545 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.6 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#208,319 in Office Products ( See Top 100 in Office Products ) #1,912 in Monitor Arms & Monitor Stands'}]",,,,,/VonHaus-Large-Curved-Glass-Monitor/product-reviews/B0196JNYZ8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
104,CABLEDECONN 8K HDMI UHD 8K High Speed 48Gbps 8K@60Hz 4K@120Hz HDCP2.2 4:4:4 HDR 3D ARC HDMI Cable Compatible with HDMI Laptops PS5 Xbox HDTVs Projectors 1m,,,,CableDeconn.,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3CMOOTCHB9X54&isAmazonFulfilled=1,,,/CABLEDECONN-Speed-48Gbps-120Hz-HDCP2-2/product-reviews/B08L7R96X7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
107,"USB Hub 3.0 Splitter,7 Port USB Data Hub with Individual On/Off Switches and Lights for Laptop, PC, Computer, Mobile HDD, Flash Drive and More",,,"[{'info': 'Package Dimensions', 'value': '6.65 x 3.62 x 1.18 inches'}, {'info': 'Item Weight', 'value': '4.2 ounces'}, {'info': 'ASIN', 'value': 'B07C1VSJLT'}, {'info': 'Item model number', 'value': 'LLUSB'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.3 out of 5 stars 2,979 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.3 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#228 in Electronics ( See Top 100 in Electronics ) #3 in Computer Networking Hubs'}, {'info': 'Is Discontinued By Manufacturer', 'value': 'No'}, {'info': 'Date First Available', 'value': 'July 14, 2020'}, {'info': 'Manufacturer', 'value': 'Likorlove'}]",GYORGKSHI,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2RFFXTJ3MT5QY&isAmazonFulfilled=1,,,/Splitter-Individual-Switches-Lights-Computer/product-reviews/B07C1VSJLT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
111,"Wireless Mini Mouse M187, Pocket Sized Portable Mouse for Laptops (Certified Refurbished)",,,"[{'info': 'Product Dimensions', 'value': '1.25 x 3.22 x 1.94 inches'}, {'info': 'Item Weight', 'value': '1.8 ounces'}, {'info': 'Manufacturer', 'value': 'Logitech'}, {'info': 'ASIN', 'value': 'B07BSJJGZM'}, {'info': 'Batteries', 'value': '1 AA batteries required.'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.1 out of 5 stars 9 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.1 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#6,383 in Computer Mice'}, {'info': 'Is Discontinued By Manufacturer', 'value': 'No'}, {'info': 'Date First Available', 'value': 'March 29, 2018'}]",,,,,
112,"Amazon Basics 15.6"" Professional Laptop Case Sleeve Bag (With Retractable Handle) - Black","[{'info': 'Brand', 'value': '\u200eAmazon Basics'}, {'info': 'Item model number', 'value': '\u200eAMSL19025'}, {'info': 'Item Weight', 'value': '\u200e15.5 ounces'}, {'info': 'Product Dimensions', 'value': '\u200e15.7 x 1.2 x 11.5 inches'}, {'info': 'Item Dimensions  LxWxH', 'value': '\u200e15.7 x 1.2 x 11.5 inches'}, {'info': 'Color', 'value': '\u200eBlack'}, {'info': 'Manufacturer', 'value': '\u200eAmazon Basics'}, {'info': 'ASIN', 'value': '\u200eB07QH595HH'}, {'info': 'Date First Available', 'value': '\u200eAugust 15, 2019'}]","[{'info': 'Standing screen display size', 'value': '\u200e15.6 Inches'}]","[{'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.5 out of 5 stars 1,620 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.5 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#1,825 in Laptop Sleeves'}]",,,,,/AmazonBasics-Professional-Laptop-Sleeve-Retractable/product-reviews/B07QH595HH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
116,"Mini Handheld Fan,Portable Foldable USB Fans with Smart Led Digital Display,Quiet Small Desk Fan with 4 Speed,Personal Rechargeable 4000mAh Battery Operated Fan for Office Outdoor Sport Home Traveling",,,"[{'info': 'Product Dimensions', 'value': '31.5 x 15.75 x 6.69 inches'}, {'info': 'Item Weight', 'value': '5.3 ounces'}, {'info': 'ASIN', 'value': 'B08Z7Z71P5'}, {'info': 'Item model number', 'value': 'S04'}, {'info': 'Batteries', 'value': '1 Lithium ion batteries required. (included)'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.8 out of 5 stars 154 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.8 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#101 in USB Fans'}, {'info': 'Date First Available', 'value': 'March 17, 2021'}]",,,,,/Handheld-Portable-Foldable-Rechargeable-Traveling/product-reviews/B08Z7Z71P5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
117,POVO Laptop Stand Adjustable Laptop Riser with Heat-Vent Ergonomic Notebook Holder for Laptop Tablet Up to 15.6 inch,,,"[{'info': 'Package Dimensions', 'value': '11.54 x 9.57 x 2.24 inches'}, {'info': 'Item Weight', 'value': '1.76 pounds'}, {'info': 'ASIN', 'value': 'B08DKPW4PD'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.7 out of 5 stars 17 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.7 out of 5 stars'}, {'info': 'Date First Available', 'value': 'March 12, 2021'}, {'info': 'Manufacturer', 'value': 'SRHO'}]",,,,,
